WO	1939	USA	Bobby Riggs	USA	Elwood Cooke	2-6, 8-6, 3-6, 6-3, 6-2	3
USO	1939	USA	Bobby Riggs	USA	Welby Van Horn	6-4, 6-2, 6-4	4
AO	1940	AUS	Adrian Quist	AUS	Jack Crawford	6-3, 6-1, 6-2	1
FO	1940	—	~Not Contested	—	—	—	2
WO	1940	-	-	-	-	-	3
USO	1940	USA	Don McNeill	USA	Bobby Riggs	4-6, 6-8, 6-3, 6-3, 7-5	4
AO	1941	-	-	-	-	-	1
FO	1941	FRA	Bernard Destremau*	FRA	Robert Ramillon	6-4, 2-6, 6-3, 6-4	2
WO	1941	-	-	-	-	-	3
USO	1941	USA	Bobby Riggs	USA	Frank Kovacs	5-7, 6-1, 6-3, 6-3	4
AO	1942	-	-	-	-	-	1
FO	1942	FRA	Bernard Destremau*	FRA	Marcel Bernard	—	2
WO	1942	-	-	-	-	-	3
USO	1942	USA	Ted Schroeder	USA	Frank Parker	8-6, 7-5, 3-6, 4-6, 6-2	4
AO	1943	-	-	-	-	-	1
FO	1943	FRA	Yvon Petra*	FRA	Henri Cochet	—	2
WO	1943	-	-	-	-	-	3
USO	1943	USA	Joseph Hunt	USA	Jack Kramer	6-3, 6-8, 10-8, 6-0	4
AO	1944	-	-	-	-	-	1
FO	1944	FRA	Yvon Petra*	FRA	Henri Cochet	—	2
WO	1944	-	-	-	-	-	3
USO	1944	USA	Frank Parker	USA	Bill Talbert	6-4, 3-6, 6-3, 6-3	4
AO	1945	-	-	-	-	-	1
FO	1945	FRA	Yvon Petra*	FRA	Bernard Destremau	7-5, 6-4, 6-2	2
WO	1945	-	-	-	-	-	3
USO	1945	USA	Frank Parker	USA	Bill Talbert	14-12, 6-1, 6-2	4
AO	1946	AUS	John Bromwich	AUS	Dinny Pails	5-7, 6-3, 7-5, 3-6, 6-2	1
FO	1946	FRA	Marcel Bernard	TCH	Jaroslav Drobný	3-6, 2-6, 6-1, 6-4, 6-3	2
WO	1946	FRA	Yvon Petra	AUS	Geoff Brown	6-2, 6-4, 7-9, 5-7, 6-4	3
USO	1946	USA	Jack Kramer	USA	Tom Brown	9-7, 6-3, 6-0	4
AO	1947	AUS	Dinny Pails	AUS	John Bromwich	4-6, 6-4, 3-6, 7-5, 8-6	1
FO	1947	HUN	József Asbóth	RSA	Eric Sturgess	8-6, 7-5, 6-4	2
WO	1947	USA	Jack Kramer	USA	Tom Brown	6-1, 6-3, 6-2	3
USO	1947	USA	Jack Kramer	USA	Frank Parker	4-6, 2-6, 6-1, 6-0, 6-3	4
AO	1948	AUS	Adrian Quist	AUS	John Bromwich	6-4, 3-6, 6-3, 2-6, 6-3	1
FO	1948	USA	Frank Parker	TCH	Jaroslav Drobný	6-4, 7-5, 5-7, 8-6	2
WO	1948	USA	Bob Falkenburg	AUS	John Bromwich	7-5, 0-6, 6-2, 3-6, 7-5	3
USO	1948	USA	Pancho Gonzales	RSA	Eric Sturgess	6-2, 6-3, 14-12	4
AO	1949	AUS	Frank Sedgman	AUS	John Bromwich	6-3, 6-2, 6-2	1
FO	1949	USA	Frank Parker	USA	Budge Patty	6-3, 1-6, 6-1, 6-4	2
WO	1949	USA	Ted Schroeder	TCH	Jaroslav Drobný	3-6, 6-0, 6-3, 4-6, 6-4	3
USO	1949	USA	Pancho Gonzales	USA	Ted Schroeder	16-18, 2-6, 6-1, 6-2, 6-4	4
AO	1950	AUS	Frank Sedgman	AUS	Ken McGregor	6-3, 6-4, 4-6, 6-1	1
FO	1950	USA	Budge Patty	EGY	Jaroslav Drobný	6-1, 6-2, 3-6, 5-7, 7-5	2
WO	1950	USA	Budge Patty	AUS	Frank Sedgman	6-1, 8-10, 6-2, 6-3	3
USO	1950	USA	Arthur Larsen	USA	Herbert Flam	6-3, 4-6, 5-7, 6-4, 6-3	4
AO	1951	USA	Dick Savitt	AUS	Ken McGregor	6-3, 2-6, 6-3, 6-1	1
FO	1951	EGY	Jaroslav Drobný	RSA	Eric Sturgess	6-3, 6-3, 6-3	2
WO	1951	USA	Dick Savitt	AUS	Ken McGregor	6-4, 6-4, 6-4	3
USO	1951	AUS	Frank Sedgman	USA	Vic Seixas	6-4, 6-1, 6-1	4
AO	1952	AUS	Ken McGregor	AUS	Frank Sedgman	7-5, 12-10, 2-6, 6-2	1
FO	1952	EGY	Jaroslav Drobný	AUS	Frank Sedgman	6-2, 6-0, 3-6, 6-4	2
WO	1952	AUS	Frank Sedgman	EGY	Jaroslav Drobný	4-6, 6-2, 6-3, 6-2	3
USO	1952	AUS	Frank Sedgman	USA	Gardnar Mulloy	6-1, 6-2, 6-3	4
AO	1953	AUS	Ken Rosewall	AUS	Mervyn Rose	6-0, 6-3, 6-4	1
FO	1953	AUS	Ken Rosewall	USA	Vic Seixas	6-3, 6-4, 1-6, 6-2	2
WO	1953	USA	Vic Seixas	DEN	Kurt Nielsen	9-7, 6-3, 6-4	3
USO	1953	USA	Tony Trabert	USA	Vic Seixas	6-3, 6-2, 6-3	4
AO	1954	AUS	Mervyn Rose	AUS	Rex Hartwig	6-2, 0-6, 6-4, 6-2	1
FO	1954	USA	Tony Trabert	USA	Arthur Larsen	6-4, 7-5, 6-1	2
WO	1954	EGY	Jaroslav Drobný	AUS	Ken Rosewall	13-11, 4-6, 6-2, 9-7	3
USO	1954	USA	Vic Seixas	AUS	Rex Hartwig	3-6, 6-2, 6-4, 6-4	4
AO	1955	AUS	Ken Rosewall	AUS	Lew Hoad	9-7, 6-4, 6-4	1
FO	1955	USA	Tony Trabert	SWE	Sven Davidson	2-6, 6-1, 6-4, 6-2	2
WO	1955	USA	Tony Trabert	DEN	Kurt Nielsen	6-3, 7-5, 6-1	3
USO	1955	USA	Tony Trabert	AUS	Ken Rosewall	9-7, 6-3, 6-3	4
AO	1956	AUS	Lew Hoad	AUS	Ken Rosewall	6-4, 3-6, 6-4, 7-5	1
FO	1956	AUS	Lew Hoad	SWE	Sven Davidson	6-4, 8-6, 6-3	2
WO	1956	AUS	Lew Hoad	AUS	Ken Rosewall	6-2, 4-6, 7-5, 6-4	3
USO	1956	AUS	Ken Rosewall	AUS	Lew Hoad	4-6, 6-2, 6-3, 6-3	4
AO	1957	AUS	Ashley Cooper	AUS	Neale Fraser	6-3, 9-11, 6-4, 6-2	1
